Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
37	22:41:23	22:41:23	22:41:23	22:41:23	22:42:06	22:42:06			22:42:06	22:42:06	22:42:06	22:42:06	22:45:12	22:45:12	22:45:12	22:45:12	22:45:12	22:45:12			22:45:15	22:45:15		00:00:00	00:00:42		00:00:00	00:00:00	00:03:05	00:00:00	00:00:00		00:00:02	00:03:51
38	22:45:15	22:45:15	22:45:15	22:45:15	22:45:56	22:45:56			22:45:56	22:45:56	22:45:56	22:45:56	22:49:45	22:49:45	22:49:45	22:49:45	22:49:45	22:49:45			22:49:47	22:49:47		00:00:00	00:00:40		00:00:00	00:00:00	00:03:49	00:00:00	00:00:00		00:00:01	00:04:32
39	22:49:47	22:49:47	22:49:47	22:49:47	00:36:11	00:36:11			00:36:11	00:36:11	00:36:12	00:36:12	02:40:45	02:40:45	02:40:45	02:40:45	02:40:45	02:40:45			02:40:47	02:40:47		00:00:00	01:46:23		00:00:00	00:00:01	02:04:32	00:00:00	00:00:00		00:00:01	03:50:59
40	02:40:47	02:40:47	02:40:48	02:40:48	02:41:41	02:41:41			02:41:41	02:41:41	02:41:42	02:41:42	02:44:55	02:44:55	02:44:55	02:44:55	02:44:55	02:44:55	02:44:55	02:44:55	02:45:20	02:45:20		00:00:01	00:00:52		00:00:00	00:00:00	00:03:13	00:00:00	00:00:00	00:00:00	00:00:24	00:04:32
41	02:45:20	02:45:20	02:45:20	02:45:20	02:46:27	02:46:27			02:46:27	02:46:27	02:46:27	02:46:27	02:49:32	02:49:32	02:49:32	02:49:32	02:49:32	02:49:32			02:49:32	02:49:32		00:00:00	00:01:06		00:00:00	00:00:00	00:03:04	00:00:00	00:00:00		00:00:00	00:04:12
42	02:49:33	02:49:33	02:49:33	02:49:33	02:50:27	02:50:27			02:50:27	02:50:27	02:50:28	02:50:28	02:53:37	02:53:37	02:53:37	02:53:37	02:53:37	02:53:37			02:53:38	02:53:38		00:00:00	00:00:54		00:00:00	00:00:00	00:03:09	00:00:00	00:00:00		00:00:00	00:04:04
43	02:53:38	02:53:38	02:53:38	02:53:38	02:54:38	02:54:38			02:54:39	02:54:39	02:54:39	02:54:39	02:57:46	02:57:46	02:57:46	02:57:46	02:57:46	02:57:46			02:57:47	02:57:47		00:00:00	00:01:00		00:00:00	00:00:00	00:03:06	00:00:00	00:00:00		00:00:00	00:04:09
44	02:57:47	02:57:47	02:57:47	02:57:47	02:58:50	02:58:50			02:58:51	02:58:51	02:58:52	02:58:52	03:02:07	03:02:07	03:02:07	03:02:07	03:02:07	03:02:07			03:02:08	03:02:08		00:00:00	00:01:03		00:00:00	00:00:00	00:03:15	00:00:00	00:00:00		00:00:01	00:04:20
45	03:02:08	03:02:08	03:02:08	03:02:08	03:03:21	03:03:21			03:03:22	03:03:22	03:03:24	03:03:24	03:07:04	03:07:04	03:07:04	03:07:04	03:07:04	03:07:04			03:07:05	03:07:05		00:00:00	00:01:13		00:00:00	00:00:02	00:03:40	00:00:00	00:00:00		00:00:00	00:04:56
46	03:07:05	03:07:05	03:07:05	03:07:05	05:08:51	05:08:51			05:08:51	05:08:51	05:08:52	05:08:52	05:12:26	05:12:26	05:12:26	05:12:26	05:12:26	05:12:26			05:12:29	05:12:29		00:00:00	02:01:45		00:00:00	00:00:00	00:03:34	00:00:00	00:00:00		00:00:02	02:05:23
