Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
51	16:40:35	16:40:35	16:40:35	16:40:35	16:41:14	16:41:14			16:41:15	16:41:15	16:41:15	16:41:15	16:44:12	16:44:12	16:44:12	16:44:12	16:44:12	16:44:12			16:44:13	16:44:13		00:00:00	00:00:39		00:00:00	00:00:00	00:02:57	00:00:00	00:00:00		00:00:00	00:03:37
52	16:44:13	16:44:13	16:44:13	16:44:13	16:44:53	16:44:53			16:44:53	16:44:53	16:44:53	16:44:53	16:47:50	16:47:50	16:47:50	16:47:50	16:47:50	16:47:50			16:47:50	16:47:50		00:00:00	00:00:39		00:00:00	00:00:00	00:02:56	00:00:00	00:00:00		00:00:00	00:03:37
53	16:47:50	16:47:50	16:47:50	16:47:50	16:48:30	16:48:30			16:48:30	16:48:30	16:48:30	16:48:30	16:51:26	16:51:26	16:51:26	16:51:26	16:51:26	16:51:26			16:51:27	16:51:27		00:00:00	00:00:39		00:00:00	00:00:00	00:02:55	00:00:00	00:00:00		00:00:00	00:03:36
54	16:51:27	16:51:27	16:51:27	16:51:27	16:52:02	16:52:02			16:52:02	16:52:02	16:52:03	16:52:03	16:55:18	16:55:18	16:55:18	16:55:18	16:55:18	16:55:18			16:55:19	16:55:19		00:00:00	00:00:35		00:00:00	00:00:00	00:03:15	00:00:00	00:00:00		00:00:00	00:03:52
55	16:55:19	16:55:19	16:55:19	16:55:19	16:55:57	16:55:57			16:55:57	16:55:57	16:55:58	16:55:58	16:58:59	16:58:59	16:58:59	16:58:59	16:58:59	16:58:59			16:59:00	16:59:00		00:00:00	00:00:37		00:00:00	00:00:00	00:03:01	00:00:00	00:00:00		00:00:00	00:03:40
56	16:59:00	16:59:00	16:59:00	16:59:00	16:59:37	16:59:37			16:59:37	16:59:37	16:59:37	16:59:37	17:02:36	17:02:36	17:02:36	17:02:36	17:02:36	17:02:36			17:02:40	17:02:40		00:00:00	00:00:36		00:00:00	00:00:00	00:02:58	00:00:00	00:00:00		00:00:03	00:03:39
57	17:02:40	17:02:40	17:02:40	17:02:40	17:03:16	17:03:16			17:03:16	17:03:16	17:03:16	17:03:16	17:06:18	17:06:18	17:06:18	17:06:18	17:06:18	17:06:18			17:06:20	17:06:20		00:00:00	00:00:36		00:00:00	00:00:00	00:03:01	00:00:00	00:00:00		00:00:01	00:03:39
58	17:06:20	17:06:20	17:06:20	17:06:20	17:06:55	17:06:55			17:06:55	17:06:55	17:06:56	17:06:56	17:09:52	17:09:52	17:09:52	17:09:52	17:09:52	17:09:52			17:09:54	17:09:54		00:00:00	00:00:35		00:00:00	00:00:00	00:02:56	00:00:00	00:00:00		00:00:01	00:03:34
59	17:09:54	17:09:54	17:09:54	17:09:54	17:10:31	17:10:31			17:10:32	17:10:32	17:10:32	17:10:32	17:13:34	17:13:34	17:13:34	17:13:34	17:13:34	17:13:34			17:13:37	17:13:37		00:00:00	00:00:36		00:00:00	00:00:00	00:03:02	00:00:00	00:00:00		00:00:02	00:03:42
60	17:13:37	17:13:37	17:13:37	17:13:37	17:14:15	17:14:15			17:14:15	17:14:15	17:14:15	17:14:15	17:17:18	17:17:18	17:17:18	17:17:18	17:17:18	17:17:18	17:17:18	17:17:18	17:17:39	17:17:39		00:00:00	00:00:38		00:00:00	00:00:00	00:03:02	00:00:00	00:00:00	00:00:00	00:00:20	00:04:01
