linkID,volume,capacity
548916-148682,12,1200.0
476000,5,1200.0
476001,9,1200.0
476002,9,1200.0
285304,4,1200.0
285306,2,4000.0
285309,1,2400.0
128919,1,1200.0
299940,2,1200.0
299944,1,1200.0
299945,3,6000.0
299946,37,6000.0
299947,36,6000.0
299948,19,6000.0
299949,36,6000.0
358853,1,3000.0
544010-32670,16,6000.0
358860,1,1200.0
608428,30,3000.0
608429,22,3000.0
128980,7,1200.0
128981,10,1200.0
128982,8,1200.0
383806,7,1200.0
153945,3,1200.0
36638,5,1200.0
128975,10,1200.0
128976,8,1200.0
128977,5,1200.0
383805,15,1200.0
36633,3,1200.0
36634,1,1200.0
36636,1,1200.0
128970,6,1200.0
128971,7,1200.0
128972,11,1200.0
128973,6,1200.0
128974,5,1200.0
358877,1,1200.0
383830,1,1200.0
608406,1,3000.0
36620,25,3000.0
128965,1,1200.0
36621,36,3000.0
36622,25,3000.0
36623,28,3000.0
36624,26,3000.0
128969,2,2000.0
219167-233674-597009,2,4000.0
128963,1,1200.0
114312,1,1200.0
36616,27,3000.0
36617,28,3000.0
36618,25,3000.0
36619,30,3000.0
383824,1,2400.0
128954,1,4000.0
128955,1,4000.0
128956,3,4000.0
128957,3,4000.0
36613,24,3000.0
128958,2,4000.0
36614,25,3000.0
383822,1,2400.0
36615,22,3000.0
285358,1,1200.0
153910,9,1200.0
153913,9,1200.0
153914,9,1200.0
153915,12,1200.0
442630,5,4000.0
36607,8,4000.0
114394,1,1200.0
163576-172242,11,1200.0
114395,1,1200.0
383858,37,6000.0
36600,3,1200.0
36602,3,1200.0
36603,1,1200.0
36604,3,1200.0
285363,2,1200.0
482128-603606-603607-74053,3,6000.0
114378,2,2000.0
114379,1,2000.0
153902,7,1200.0
153903,7,1200.0
501525,102,12000.0
153904,7,1200.0
153905,7,1200.0
153906,7,1200.0
442620,7,1200.0
442621,12,1200.0
501533,2,1200.0
442622,9,1200.0
417699,3,1200.0
442623,3,1200.0
114387,7,1200.0
442629,8,4000.0
417690,1,1200.0
326396-326397-394561-394562-50625,11,8000.0
417691,1,1200.0
417694,1,6000.0
344194,1,1200.0
303182-26808-26738,31,6000.0
153930,5,4000.0
153931,6,4000.0
114368,2,2000.0
153932,5,4000.0
344190,1,1200.0
153933,6,4000.0
114369,1,2000.0
153934,5,4000.0
344192,1,1200.0
103317-103319-114426-114433-103291,32,6000.0
153935,6,4000.0
153936,5,4000.0
153937,6,4000.0
153938,5,4000.0
114370,2,2000.0
114371,1,2000.0
114372,2,2000.0
573019-520279-50154,58,12000.0
114373,1,2000.0
114374,2,2000.0
465954-526662,2,1200.0
114375,1,2000.0
114376,2,2000.0
114377,1,2000.0
285383,1,1200.0
285385,1,1200.0
344188,1,1200.0
20176-368549,1,1200.0
190816-567368-220913-417744,2,4000.0
114357,1,4000.0
289231-289229-289223-478515,1,1200.0
114358,8,1200.0
117744-117746,20,3000.0
114359,3,1200.0
153929,6,4000.0
501553,1,1200.0
383864,1,1200.0
37260-103885,8,1200.0
608380,18,6000.0
608382,16,6000.0
608383,1,6000.0
367570-486122-485520,10,4000.0
36592,1,1200.0
36593,2,1200.0
64098-64100,5,2400.0
608376,2,6000.0
417651,1,2400.0
608377,2,6000.0
417654,2,6000.0
502331-502333,1,2000.0
608372,8,4000.0
417655,1,6000.0
417656,3,6000.0
417657,1,4000.0
417658,1,4000.0
608375,8,4000.0
392093-342652-342631,1,1200.0
36580,1,2000.0
36581,3,2000.0
36582,1,2000.0
36583,3,2000.0
344271,2,1200.0
344272,1,1200.0
36585,3,2000.0
373832-373833,1,1200.0
114293,3,3000.0
442610,2,6000.0
442611,2,6000.0
417668,2,1200.0
417669,1,1200.0
36587,3,2000.0
442619,8,1200.0
61597,1,1200.0
61598,1,1200.0
61599,1,1200.0
151132-151133,1,1200.0
608350,14,3000.0
417678,6,1200.0
36575,1,1200.0
36576,1,1200.0
36577,3,2000.0
442607,3,6000.0
36578,1,2000.0
442608,3,6000.0
36579,3,2000.0
442609,8,6000.0
344258,5,2400.0
153873,3,1200.0
153874,1,1200.0
